id,en,tw,status,comment
210,come,來,-1,
211,comb,梳子,-1,
212,comfortable,舒適的,-1,
213,comic  book, 漫畫,1,
214,common,共同的,1,
215,computer,電腦,-1,
216,convenient,方便的,-1,
217,cook,煮飯,1,
218,cookie,餅乾,-1,
219,cool,涼爽的,1,
220,copy,抄寫,1,
221,corner,角落,1,
222,correct,正確的,1,
223,cost,價值,1,
224,couch,沙發,1,
225,count,數,1,
226,country,鄉村,1,
227,course,課程,1,
228,cousin,(表)兄弟姊妹,-1,
229,cover,覆蓋,-1,
230,cow,母牛,1,
231,cowboy,牛仔,1,
232,crazy,瘋狂的,1,
233,cross,越過,1,
234,cry,哭,1,
235,cup,茶杯,1,
236,cut,切,1,
237,cute,可愛的,1,
238,dance,跳舞,1,
239,dangerous,危險的,1,
240,dark,黑暗的,1,
241,date,日期,1,
242,daughter,女兒,1,
243,day,日子,1,
244,dead,死的,1,
245,dear,親愛的,0,
246,December,十二月,1,
247,decide,決定,1,
248,delicious,美味的,1,
249,dentist,牙醫,1,
250,department store,百貨公司,1,
251,desk,書桌,-1,
252,dictionary,字典,1,
253,die,死亡,1,
254,different,不同的,1,
255,difficult,困難的,1,
256,dig,挖掘,1,
257,dining room,飯廳,1,
258,dinner,晚餐,1,
259,dirty,骯髒的,1,
260,dish,盤子,1,
261,do,做,1,
262,doctor,醫生,1,
263,dodge ball,躲避球,1,
264,dog,狗,0,
265,doll,洋娃娃,1,
266,dollar,元,1,
267,door,門,1,
268,dot,點,1,
269,down,向下,1,
270,dozen,一打,1,
271,dragon,龍,1,
272,draw,畫,1,
273,drawer,抽屜,1,
274,dream,做夢,1,
275,dress,洋裝,-1,
276,drink,喝,1,
277,drive,駕駛,1,
278,driver,駕駛者,1,
279,drop,掉落,1,
280,drum,鼓,1,
281,dry,乾的,1,
282,duck,鴨,1,
283,dumpling,水餃,1,
284,during,在…期間,1,
285,each,每一,1,
286,ear,耳朵,1,
287,early,早的,1,
288,earth,地球,1,
289,east,東方,1,
290,Easter,復活節,1,
291,easy,容易的,1,
292,eat,吃,1,
293,egg,蛋,0,
294,eight,八,0,
295,eighteen,十八,1,
296,eighth,第八,1,
297,eighty,八十,1,
298,either,也不,1,
299,elementary school,小學,1,
300,elephant,大象,1,
301,eleven,十一,1,
302,eleventh,第十一,1,
303,else,其他的,1,
304,e-mail,電子郵件,-1,
305,end,結束,0,
306,engineer,工程師,1,
307,English,英語,0,
308,enjoy,喜愛,1,
309,enough,足夠的,1,
310,enter,進入,-1,
311,envelope,信封,1,
312,eraser,橡皮擦,1,
313,even,前夕,1,
314,even,甚至,1,
315,evening,傍晚,1,
316,ever,曾經,1,
317,every,每一個,1,
318,everyone,每一個人,0,
319,everything,每件事,-1,
320,example,例子,-1,
321,excellent,極好的,1,
322,except,除了…之外,1,
323,excited,感興奮的,1,
324,exciting,令人興奮的,1,
325,excuse,原諒,1,
326,exercise,運動,1,
327,expensive,昂貴的,1,
328,experience,經驗,1,
329,eye,眼睛,0,
330,face,臉孔,1,
331,fact,事實,1,
332,factory,工廠,1,
333,fail,失敗,1,
334,fall,秋天,1,
335,family,家庭,1,
336,famous,有名的,1,
337,fan,迷,1,
338,far,遠的,1,
339,farm,農田,1,
340,farmer,農夫,1,
341,fast,快的,1,
342,fat,胖的,-1,
343,father,父親,1,
344,favorite,最喜愛的,1,
345,February,二月,1,
346,feed,餵,1,
347,feel,覺得,1,
348,festival,節慶,-1,
349,fever,發燒,1,
350,few,少數的,1,
351,fifteen,十五,1,
352,fifteenth,第十五,1,
353,fifth,第五,1,
354,fifty,五十,1,
355,fight,打架,1,
356,fill,裝滿,1,
357,finally,最後,1,
358,find,找到,-1,
359,fine,很好的,-1,
360,finger,手指,1,
361,finish,完成,1,
362,fire,火,1,
363,first,第一,1,
364,fish,魚,1,
365,fisherman,漁夫,1,
366,five,五,1,
367,fix,修理,1,
368,floor,地板,1,
369,flower,花朵,0,
370,flute,笛,1,
371,fly,飛,-1,
372,follow,遵循,1,
373,food,食物,-1,
374,foot,腳,1,
375,for,為了,1,
376,foreign,外國的,1,
377,foreigner,外國人,1,
378,forget,忘記,1,
379,fork,叉子,1,
380,forty,四十,1,
381,four,四,0,
382,fourteen,十四,-1,
383,fourteenth,第十四,1,
384,fourth,第四,-1,
385,fox,狐狸,1,
386,free,空閒的,1,
387,French fries,薯條,1,
388,fresh,新鮮的,1,
389,Friday,星期五,-1,
390,friend,朋友,1,
391,friendly,友善的,1,
392,frisbee,飛盤,1,
393,frog,蛙,1,
394,from,從,1,
395,front,前面,1,
396,fruit,水果,1,
397,fry,油炸,1,
398,full,滿的,1,
399,fun,樂趣,1,
400,funny,好笑的,-1,
401,future,未來,1,
402,game,比賽,1,
403,garbage,垃圾,1,
404,garden,花園,1,
405,gas,瓦斯,1,
406,gate,大門,1,
407,get,得到,1,
408,ghost,鬼,-1,
409,giant,巨大的/巨人,1,
410,gift,禮物,1,
411,girl,女孩,1,
412,give,給予,-1,
413,glad,高興的,1,
414,glass,玻璃杯,1,
415,glasses,眼鏡,1,
416,glove,手套,1,
417,glue,膠水,1,
418,go,去,0,
419,goat,山羊,1,
420,good,好的,0,
421,goodbye,再見,1,
422,goose,鵝,1,
423,grade,成績,1,
424,gram,公克,1,
425,grandfather,祖父,1,
426,grandmother,祖母,1,
427,grape,葡萄,1,
428,grass,草,1,
429,gray,灰色的,1,
430,great,很棒的,1,
431,green,綠色(的),1,
432,ground,地面,1,
433,group,團體,1,
434,grow,種植,1,
435,guava,番石榴,1,
436,guess,猜想,1,
437,guitar,吉他,1,
438,guy,傢伙,1,
439,gym,體育館,1,
440,habit,習慣,1,
441,hair,頭髮,1,
442,half,一半,1,
443,Halloween,萬聖節,1,
444,ham,火腿,-1,
445,hamburger,漢堡,1,
446,hand,手,0,
447,handsome,英俊的,1,
448,hang,懸掛,1,
449,happen,發生,1,
450,happy,快樂的,1,
451,hard,困難的,1,
452,hard-working,努力工作的,1,
453,hat,帽子,1,
454,hate,討厭,1,
455,have,有,1,
456,he,他,0,
457,head,頭,1,
458,headache,頭痛,1,
459,health,健康,-1,
460,healthy,健康的,-1,
461,hear,聽,1,
462,heart,心,1,
463,heat,熱,1,
464,heavy,重的,1,
465,hello,喂,0,
466,help,幫忙,-1,
467,helpful,有幫助的,1,
468,hen,母雞,-1,
469,here,這裡,1,
470,hey,嘿,-1,
471,hi,嗨,0,
472,hide,隱藏,1,
473,high,高的,1,
474,hike,徒步旅行,1,
475,hill,小山,1,
476,hippo,河馬,0,
477,history,歷史,-1,
478,hit,打擊,1,
479,hobby,嗜好,1,
480,hold,拿著,1,
481,holiday,假日,1,
482,home,家,1,
483,homework,家庭作業,1,
484,honest,誠實的,1,
485,honey,蜂蜜,1,
486,hop,(單腳)跳,1,
487,hope,希望,1,
488,horse,馬,1,
489,hospital,醫院,1,
490,hot,熱的,0,
491,hot dog,熱狗,1,
492,hotel,旅社,1,
493,hour,小時,1,
494,house,房屋,1,
495,housewife,家庭主婦,1,
496,how,如何,1,
497,however,然而,1,
498,hundred,百,1,
499,hungry,飢餓的,1,
500,hunt,打獵,1,
501,hurry,趕忙,1,
502,hurt,受傷,1,
503,husband,丈夫,1,
504,I,我,0,
505,ice,冰,1,
506,ice cream,冰淇淋,1,
507,idea,主意,1,
508,if,如果,1,
509,important,重要的,1,
510,in,在…裡面,0,
511,insect,昆蟲,1,
512,inside,在...內部,1,
513,interest,使感興趣,1,
514,interested,感興趣的,-1,
515,interesting,有趣的,1,
516,interview,訪問,1,
517,Internet,網路,1,
518,into,到…之內,1,
519,invite,邀請,1,
520,island,島嶼,1,
521,it,它,0,
522,jacket,夾克,1,
523,January,一月,1,
524,jeans,牛仔褲,1,
525,job,工作,1,
526,jog,慢跑,1,
527,join,加入,1,
528,joy,歡樂,1,
529,juice,果汁,1,
530,July,七月,1,
531,jump,跳躍,1,
532,June,六月,1,
533,junior high school,國中,1,
534,just,只是,1,
535,kangaroo,袋鼠,1,
536,keep,保持,1,
537,key,鑰匙,1,
538,kick,踢,1,
539,kid,小孩,-1,
540,kill,殺,1,
541,kilo,公斤,1,
542,kind,種類,1,
543,king,國王,1,
544,kiss,吻,1,
545,kitchen,廚房,1,
546,kite,風箏,1,
547,knee,膝蓋,1,
548,knife,刀子,1,
549,knock,敲,1,
550,know,知道,1,
551,knowledge,知識,1,
552,koala,無尾熊,1,
553,lake,湖,1,
554,lamp,燈,1,
555,land,土地,1,
556,language,語言,1,
557,lantern,燈籠,1,
558,large,大的,1,
559,last,最後的,1,
560,late,晚的,1,
561,later,較晚,1,
562,laugh,笑,1,
563,lawyer,律師,1,
564,lazy,懶惰的,1,
565,lead,引導,1,
566,leader,領導者,1,
567,learn,學習,1,
568,least,最少,1,
569,leave,離開,-1,
570,left,左邊,1,
571,leg,腿,1,
572,lemon,檸檬,1,
573,lend,借出,1,
574,less,較少的,1,
575,lesson,課,1,
576,let,讓,1,
577,letter,信,1,
578,lettuce,萵苣,1,
579,library,圖書館,1,
580,lid,蓋子,1,
581,lie,說謊,1,
582,life,生活,1,
583,light,燈,1,
584,like,喜歡,1,
585,line,隊伍,1,
586,lion,獅子,1,
587,lip,嘴唇,1,
588,list,列表,1,
589,listen,聽,1,
590,little,小的,1,
591,live,住,1,
592,living room,客廳,1,
593,lonely,寂寞的,1,
594,long,長的,1,
595,look,看,1,
596,lose,遺失,1,
597,loud,大聲的,-1,
598,love,喜愛,0,
599,lovely,可愛的,1,
600,low,低的,1,
601,lucky,幸運的,1,
602,lunch,午餐,1,
603,machine,機器,1,
604,mad,瘋狂的,1,
605,magic,神奇的,1,
606,mail,信件,1,
607,mailman,郵差,1,
608,make,製作,-1,
609,man,男人,1,
610,many,許多的,1,
611,map,地圖,1,
612,March,三月,1,
613,mark,做記號,1,
614,marker,簽字筆,1,
615,market,市場,1,
616,married,已婚的,-1,
617,mask,面具,1,
618,mat,墊子,1,
619,math,數學,-1,
620,matter,事情,1,
621,may,可能,1,
622,May,五月,1,
623,maybe,也許,1,
624,meal,一餐,1,
625,mean,意指,1,
626,meat,肉,1,
627,medicine,藥,1,
628,medium,中號,1,
629,meet,遇見,1,
630,meeting,會議,1,
631,menu,菜單,1,
632,mile,哩,1,
633,milk,牛奶,0,
634,million,百萬,1,
635,mind,介意,1,
636,minute,分鐘,1,
637,Miss,小姐,0,
638,miss,想念,0,
639,mistake,錯誤,1,
640,modern,現代化的,1,
641,moment,片刻,1,
642,Monday,星期一,1,
643,money,錢,-1,
644,monkey,猴子,1,
645,month,月份,1,
646,moon,月亮,1,
647,mop,拖地,1,
648,more,更多的,1,
649,morning,早上,-1,
650,most,大多數的,-1,
651,mother,母親,1,
652,motorcycle,機車,1,
653,mountain,山,1,
654,mouse,老鼠,-1,
655,mouth,嘴巴,1,
656,move,移動,1,
657,movie,電影,1,
658,Mr.,先生,0,
659,Mrs.,太太,0,
660,MRT,捷運,-1,
661,Ms.,女士,0,
662,much,許多的,-1,
663,mud,泥,1,
664,museum,博物館,1,
665,music,音樂,1,
666,must,必須,1,
667,nail,釘子,1,
668,name,名字,1,
669,national,國家的,1,
670,near,在…附近,1,
671,neck,脖子,1,
672,need,需要,1,
673,neighbor,鄰居,-1,
674,never,從不,1,
675,new,新的,0,
676,news,消息,1,
677,next,下一個,1,
678,nice,好的,1,
679,night,晚上,-1,
680,nine,九,1,
681,nineteen,十九,1,
682,nineteenth,第十九,1,
683,ninety,九十,1,
684,ninth,第九,1,
685,no,沒有,-1,
686,nobody,無一人,1,
687,nod,點頭,1,
688,noise,噪音,1,
689,noodle,麵條,-1,
690,noon,中午,1,
691,north,北方,1,
692,nose,鼻子,1,
693,not,不,0,
694,note,筆記,1,
695,notebook,筆記本,1,
696,nothing,沒什麼,1,
697,notice,注意到,1,
698,November,十一月,1,
699,now,現在,1,
700,number,號碼,1,
701,nurse,護士,-1,
702,o’clock,點鐘,1,
703,October,十月,1,
704,of,...的,0,
705,off,自…離開,0,
706,office,辦公室,1,
707,officer,警官,1,
708,often,時常,1,
709,oil,油,1,
710,OK,可以,0,
711,old,老的,-1,
712,on,在…上面,1,
713,once,一次,1,
714,one,一,1,
715,only,只,1,
716,open,打開,1,
717,or,或,1,
718,orange,柳橙,1,
719,order,點餐,1,
720,other,其他的,1,
721,out,在外,0,
722,outside,在...外面,1,
723,over,結束,1,
724,own,自己的,-1,
725,ox,公牛,1,
726,pack,包,1,
727,package,包裹,1,
728,page,頁,1,
729,paint,繪畫,1,
730,pair,一雙,1,
731,pants,長褲,-1,
732,papaya,木瓜,1,
733,paper,紙,1,
734,parent,父(母)親,1,
735,park,公園,1,
736,part,部分,-1,
737,party,派對,-1,
738,pass,通過,1,
739,past,經過,1,
740,paste,黏貼,1,
741,pay,付錢,-1,
742,PE,體育,0,
743,peach,桃子,1,
744,pear,梨子,1,
745,pen,筆,0,
746,pencil,鉛筆,0,
747,people,人們,1,
748,perhaps,或許,1,
749,person,人,1,
750,pet,寵物,1,
751,photo,相片,1,
752,piano,鋼琴,1,
753,pick,撿拾,1,
754,picnic,野餐,1,
755,picture,圖片,1,
756,pie,派,1,
757,piece,片,1,
758,pig,豬,0,
759,pin,大頭針,1,
760,pink,粉紅色(的),1,
761,pipe,管,1,
762,pizza,披薩,1,
763,place,地方,1,
764,plan,計畫,1,
765,planet,行星,-1,
766,plant,植物,1,
767,plate,盤子,-1,
768,play,玩,1,
769,player,選手,1,
770,playground,操場,1,
771,pleasure,樂事,1,
772,please,請,1,
773,p.m.,下午,1,
774,pocket,口袋,1,
775,point,指著,1,
776,police,警察(方),1,
777,polite,有禮貌的,1,
778,pond,池塘,1,
779,pool,游泳池,1,
780,poor,貧困的,1,
781,popcorn,爆米花,1,
782,popular,受歡迎的,1,
783,pork,豬肉,1,
784,possible,可能的,1,
785,post office,郵局,1,
786,postcard,明信片,1,
787,pot,罐,1,
788,pound,磅,1,
789,practice,練習,1,
790,pray,祈禱,1,
791,prepare,準備,1,
792,present,禮物,1,
793,pretty,漂亮的,1,
794,price,價格,1,
795,princess,公主,-1,
796,prize,獎,1,
797,problem,問題,1,
798,program,節目,1,
799,proud,驕傲的,1,
800,public,公立的,1,
801,pull,拉,1,
802,pumpkin,南瓜,-1,
803,purple,紫色的,1,
804,push,推,1,
805,put,放,1,
806,quarter,一刻鐘,1,
807,queen,皇后,0,
808,question,問題,1,
809,quick,迅速的,1,
810,quiet,安靜的,1,
811,quite,相當,1,
812,quiz,小考,1,
813,rabbit,兔子,1,
814,race,賽跑,1,
815,radio,收音機,1,
816,railroad,鐵路,1,
817,rain,下雨,1,
818,rainbow,彩虹,1,
819,rainy,下雨的,1,
820,raise,舉起,1,
821,rat,老鼠,1,
822,read,讀,1,
823,ready,準備好的,1,
824,real,真的,1,
825,really,真地,1,
826,recorder,錄音機,1,
827,red,紅色(的),1,
828,refrigerator,冰箱,-1,
829,remember,記得,1,
830,repeat,重複,1,
831,reporter,記者,1,
832,rest,休息,1,
833,restaurant,餐館,1,
834,restroom,洗手間,-1,
835,rice,米飯,1,
836,rich,有錢的,1,
837,ride,騎,1,
838,right,右方,1,
839,ring,戒指,1,
840,river,河,1,
841,road,道路,1,
842,robot,機器人,1,
843,ROC,中華民國,1,
844,rock,岩石,1,
845,roll,滾,1,
846,room,房間,1,
847,roller-skate,溜冰,1,
848,rope,繩子,1,
849,rose,玫瑰,1,
850,round,圓形的,1,
851,row,划(船),1,
852,rule,規則,1,
853,ruler,尺,1,
854,run,跑,1,
855,sad,悲傷的,1,
856,safe,安全的,1,
857,sail,航行,1,
858,salad,沙拉,1,
859,sale,出售,-1,
860,salesman,推銷員,1,
861,salt,鹽,1,
862,same,相同的,-1,
863,sandwich,三明治,1,
864,Saturday,星期六,1,
865,sacred,神聖的,1,
866,save,節省,1,
867,say,說,1,
868,school,學校,1,
869,science,科學,1,
870,scooter,速克達機車,1,
871,screen,螢幕,1,
872,sea,海,1,
873,season,季節,1,
874,seat,座位,1,
875,second,第二,1,
876,secretary,秘書,1,
877,see,看,1,
878,seed,種子,1,
879,seesaw,蹺蹺板,1,
880,seldom,很少,-1,
881,sell,賣,1,
882,send,寄,1,
883,senior high school,高中,1,
884,sentence.,句子,-1,
885,September,九月,1,
886,serious,嚴重的,1,
887,set,(電視)機,0,
888,seven,七,1,
889,seventeen,十七,1,
890,seventeenth,第十七,1,
891,seventh,第七,1,
892,seventy,七十,1,
893,several,幾個的,1,
894,shake,搖動,-1,
895,shall,將,1,
896,shape,形狀,1,
897,share,分享,-1,
898,shark,鯊魚,1,
899,she,她,0,
900,sheep,綿羊,-1,
901,ship,船,1,
902,shirt,襯衫,1,
903,shoe,鞋子,1,
904,shop,商店,1,
905,shopkeeper,店主,1,
906,short,短的,1,
907,shorts,短褲,1,
908,should,應該,1,
909,shoulder,肩膀,1,
910,shout,喊叫,1,
911,show,指示,1,
912,shy,害羞的,1,
913,sick,生病的,1,
914,side,旁邊,1,
915,sidewalk,人行道,1,
916,sight,視力,1,
917,sign,標誌,1,
918,simple,簡單的,1,
919,since,自從,1,
920,sing,唱歌,1,
921,singer,歌手,1,
922,sir,先生,-1,
923,sister,姊妹,1,
924,sit,坐,1,
925,six,六,1,
926,sixteen,十六,-1,
927,sixteenth,第十六,1,
928,sixth,第六,1,
929,sixty,六十,1,
930,size,尺寸,1,
931,skate,溜冰,1,
932,skirt,裙子,1,
933,sky,天空,-1,
934,sleep,睡覺,1,
935,slide,溜滑梯,1,
936,slim,苗條的,1,
937,slow,慢的,1,
938,small,小的,-1,
939,smart,聰明的,1,
940,smell,聞起來,1,
941,smile,微笑,1,
942,smoke,煙,1,
943,snack,點心,1,
944,snake,蛇,1,
945,snow,下雪,1,
946,snowman,雪人,1,
947,snowy,下雪的,1,
948,so,如此地,0,
949,soccer,足球,1,
950,socks,襪子,1,
951,sofa,沙發,1,
952,soldier,軍人,1,
953,some,一些,1,
954,someone,某人,1,
955,something,某事,1,
956,sometimes,有時候,1,
957,somewhere,某處,1,
958,son,兒子,0,
959,song,歌曲,1,
960,soon,不久,1,
961,sore,疼痛的,-1,
962,sorry,抱歉,1,
963,sound,聽起來,1,
964,soup,湯,1,
965,south,南方,1,
966,space,空間,1,
967,spaghetti,義大利麵,1,
968,speak,說,1,
969,special,特別的,1,
970,spell,拼字,1,
971,spend,花費,1,
972,spider,蜘蛛,1,
973,spoon,湯匙,1,
974,sport,運動,1,
975,spring,春天,1,
976,square,正方形的,1,
977,stairs,樓梯,1,
978,stamp,郵票,1,
979,stand,站立,1,
980,star,星星,1,
981,start,開始,1,
982,station,車站,1,
983,stay,停留,1,
984,steak,牛排,1,
985,still,仍然,1,
986,stomach,胃,1,
987,stop,停,1,
988,store,商店,1,
989,straight,直的,1,
990,story,故事,1,
991,strange,奇怪的,1,
992,stranger,陌生人,1,
993,strawberry,草莓,1,
994,street,街道,1,
995,strong,強壯的,1,
996,student,學生,1,
997,study,研讀,1,
998,stupid,笨的,-1,
999,subject,科目,1,
1000,successful,成功的,1,
1001,sugar,糖,1,
1002,summer,夏天,1,
1003,sun,太陽,1,
1004,Sunday,星期日,1,
1005,sunny,晴朗的,1,
1006,supermarket,超市,1,
1007,sure,確定的,-1,
1008,surf,衝浪,1,
1009,surprise,使驚訝,1,
1010,surprised,感驚訝的,1,
1011,sweater,毛衣,1,
1012,sweet,甜的,1,
1013,swim,游泳,1,
1014,swing,鞦韆,-1,
1015,table,桌子,1,
1016,tail,尾巴,1,
1017,Taiwan,臺灣,1,
1018,take,拿,1,
1019,talk,說話,1,
1020,tall,高的,1,
1021,tape,錄音帶,1,
1022,taste,品嚐,1,
1023,taxi,計程車,0,
1024,tea,茶,1,
1025,teach,教,1,
1026,teacher,教師,1,
1027,team,團隊,1,
1028,teenager,青少年,1,
1029,telephone,電話,1,
1030,television,電視,1,
1031,tell,告訴,1,
1032,temple,寺廟,1,
1033,ten,十,1,
1034,tennis,網球,1,
1035,tenth,第十的,1,
1036,terrible,可怕的,1,
1037,test,考試,1,
1038,than,比…,1,
1039,thank,謝謝,1,
1040,that,那個,0,
1041,the,這/那,0,
1042,theater,戲院,1,
1043,then,那時,1,
1044,there,那裡,1,
1045,these,這些,1,
1046,they,他們,1,
1047,thick,厚的,1,
1048,thin,瘦的,1,
1049,thing,事情,1,
1050,think,想,1,
1051,third,第三,1,
1052,thirsty,口渴的,1,
1053,thirteen,十三,1,
1054,thirteenth,第十三,1,
1055,thirty,三十,1,
1056,this,這個,1,
1057,throat,喉嚨,1,
1058,throw,丟,1,
1059,those,那些,1,
1060,though,雖然,1,
1061,thousand,千,1,
1062,three,三,1,
1063,Thursday,星期四,1,
1064,ticket,票,1,
1065,tidy,整潔的,1,
1066,tiger,老虎,1,
1067,tie,領帶,1,
1068,time,時間,1,
1069,tired,疲倦的,1,
1070,to,到,0,
1071,toast,土司,1,
1072,today,今天,1,
1073,toe,腳趾,1,
1074,together,一起,1,
1075,tomato,番茄,1,
1076,tomorrow,明天,1,
1077,tonight,今晚,1,
1078,too,也,0,
1079,tooth,牙齒,1,
1080,top,頂端,1,
1081,total,總計,1,
1082,touch,碰觸,1,
1083,towel,毛巾,1,
1084,town,城鎮,1,
1085,toy,玩具,-1,
1086,traffic,交通,1,
1087,train,火車,1,
1088,trash,垃圾,1,
1089,treat,請客,1,
1090,tree,樹,1,
1091,trick,惡作劇,1,
1092,trip,旅行,-1,
1093,trouble,麻煩,1,
1094,truck,卡車,-1,
1095,TRUE,真實的,0,
1096,try,嘗試,1,
1097,T-shirt,T恤,1,
1098,tub,浴缸,1,
1099,Tuesday,星期二,-1,
1100,turkey,火雞,1,
1101,turn,轉動,1,
1102,turtle,烏龜,1,
1103,twelfth,第十二,1,
1104,twelve,十二,1,
1105,twenty,二十,1,
1106,twentieth,第二十,1,
1107,twice,兩次,1,
1108,two,二,1,
1109,type,打字,1,
1110,typhoon,颱風,1,
1111,umbrella,雨傘,1,
1112,uncle,伯(叔),1,
1113,under,在…之下,1,
1114,understand,了解,1,
1115,unhappy,不快樂的,1,
1116,uniform,制服,1,
1117,until,直到,1,
1118,up,向上,1,
1119,USA,美國,0,
1120,use,使用,1,
1121,useful,有用的,1,
1122,usually,通常,1,
1123,vacation,假期,1,
1124,vegetable,蔬菜,-1,
1125,very,非常,1,
1126,vest,背心,1,
1127,video,影像的,-1,
1128,violin,小提琴,1,
1129,visit,參觀,1,
1130,voice,聲音,1,
1131,wait,等待,1,
1132,waiter,男服務生,1,
1133,waitress,女服務生,1,
1134,wake,醒來,1,
1135,walk,走路,1,
1136,wall,牆壁,1,
1137,wallet,皮夾,1,
1138,want,想要,1,
1139,warm,溫暖的,-1,
1140,wash,清洗,1,
1141,watch,看,1,
